T,Lx,Ly,Lz,VLx,VLy,VLz,qx,qy,qz,dqx,dqy,dqz
16.264037609100342,0.033063674238180275,-0.031082773561713732,0.3621860970093383,0.2285269410778613,0.035539721640090255,-0.0017991322432207256,-0.06872617246843692,-0.028051363824172577,-0.9972411113694835,0.12924323375505287,0.004541838785955067,-0.009863325825188448
16.26975965499878,0.03416810467528676,-0.03089716277037474,0.3622198375258102,0.22800233361955535,0.03579247662232295,-0.0014408324676889763,-0.06803187991604913,-0.02795969718331574,-0.9972912907714103,0.1303968223255734,0.005844402216667636,-0.009902755192485126
16.275399446487427,0.03526713554676761,-0.030712342583329066,0.36226078918650073,0.2274223015485943,0.03602304072278813,-0.0009735116540042115,-0.0673327571608731,-0.02786998426244045,-0.9973412474125024,0.131505493750705,0.0071589014503522334,-0.00993692650381164
16.281167030334473,0.03635790288541513,-0.030528958785488648,0.3623061517037362,0.22678577934056054,0.03622782389815055,-0.00039921377130461587,-0.06663484906681771,-0.027784114100669267,-0.997390515241389,0.13257106049592515,0.008448545449109536,-0.009964980475450535
16.286797761917114,0.037441597708824895,-0.03034630837144952,0.3623524152914303,0.2260859851179262,0.03640254741285988,0.0002667909429360419,-0.0659396561573551,-0.02770235279100842,-0.997438991315104,0.13357813593915002,0.0096744524266624,-0.009984861892779267
16.292545557022095,0.03851959854293657,-0.03016404532430856,0.36239780205547223,0.22531988464406819,0.03654567761115701,0.0009973842079079058,-0.06524723249492875,-0.027624694509478964,-0.9974866790614353,0.1345056075199556,0.010804221273678954,-0.009994365055279454
16.29857349395752,0.03959376187844135,-0.029981916960425875,0.36244201196087006,0.22449295276857342,0.036658513361085276,0.0017612525503924008,-0.06456037328355536,-0.027546300194883206,-0.9975335380562708,0.13533345126919843,0.011819118808100793,-0.00999180239813392
16.304255723953247,0.04066143573855935,-0.02979903097739524,0.3624848541219909,0.22361362677609262,0.03674469940618618,0.0025297346392614867,-0.06387966292964098,-0.027463107481543382,-0.9975796541587306,0.13604093579435828,0.012721928629038029,-0.009976099379323245
16.31013774871826,0.04172121245304533,-0.02961370098720347,0.362526590884213,0.22268444276362687,0.03681187317097078,0.0032793111233178273,-0.06319993854911865,-0.027372298247025556,-0.9976254432681955,0.1366154568064215,0.01353485987038176,-0.009947293423765219
16.315823554992676,0.042776869484837665,-0.02942443831141531,0.3625688021155872,0.22170666376305076,0.03687295053341754,0.003993688187407151,-0.06251859340472875,-0.027269203410903414,-0.9976711963487915,0.1370635570781507,0.014293617561136365,-0.009907044814925544
16.321483612060547,0.04382659249960975,-0.029232614769046983,0.36261300890400455,0.22068718183823754,0.03694205896816438,0.004666077820942133,-0.06183541596518912,-0.02715677787192414,-0.9977168389618504,0.1374050160728221,0.015038195592201566,-0.009857960422544075
16.327292919158936,0.044867123992652344,-0.029040393935813032,0.36265886390099233,0.21962899462168778,0.03702654414354019,0.005296713750403093,-0.06114856469749777,-0.027043126578572732,-0.9977622574242279,0.13766343765080202,0.015790575476375027,-0.009802355218480652
16.332979440689087,0.04589924785650306,-0.028847780287993285,0.3627045867127538,0.21852699629493463,0.037125625056020274,0.005885651306866361,-0.06045917443861756,-0.026929676675778332,-0.9978073364835212,0.13786262417182565,0.01654536003265816,-0.009741765284187248
16.33862042427063,0.04692582008040917,-0.02865411826254886,0.36274769353720177,0.21737936229594607,0.03723667105387862,0.006426773547640905,-0.05976499708723852,-0.026814389082224138,-0.9978522604380418,0.13802496742639536,0.01728828548897899,-0.009677353988946237
16.344282150268555,0.04795072778008996,-0.028459041031520915,0.3627861685974242,0.21619715328499373,0.037359165350704694,0.006906527090748633,-0.05906146586590771,-0.026696115460129972,-0.9978973197023377,0.13817800435788963,0.018012404056067223,-0.00961074046506695
16.349998712539673,0.048972004742534284,-0.02826307265393143,0.36282019102129753,0.214999597655042,0.0374933993512101,0.007308394965341778,-0.058352735280767114,-0.026572898355595634,-0.9979423026198638,0.1383520045625343,0.018719545188497933,-0.009543883689805133
16.355684518814087,0.04998677860506556,-0.02806680290521723,0.3628512038748106,0.21379919943469752,0.037637937102279875,0.0076206393975191454,-0.0576413687057502,-0.026445698451846307,-0.9979870227849267,0.13856375319787717,0.019416098191408545,-0.009478003847809799
16.361380338668823,0.05099696142453175,-0.02786988089805478,0.36288083139097765,0.2125996065937849,0.03778990069402052,0.00784104628302732,-0.05692580097577233,-0.02631599366725697,-0.9980315233801845,0.13881730132722583,0.0201058160530777,-0.00941345636847752
16.367018699645996,0.05200083064521614,-0.02767241615798395,0.3629105364619606,0.21140286810974046,0.037946823593403976,0.007976701126085513,-0.05621090035798666,-0.02618106603459001,-0.998075591557191,0.13911019813168987,0.020790527069694677,-0.009350149490118888
